						
	연번	경로당 명	주  소	회원수	"경로당
개설일"	"비고
(휴지/휴지시작연도)"
	245	서울숲더샵실버문화센터	왕십리로 241(102동 4F)	23	2016.04	
	246	행당두산(아)	서울시 성동구 고산자로16길 8-1(행당1동, 행당두산아파트)	48	1998.11	
	247	행당삼부(아)	서울시 성동구 왕십리로 280(행당1동, 행당삼부아파트)	22	1998.11	
	248	행당한신(아)제1	서울시 성동구 고산자로 164(행당1동, 행당한신아파트)	28	2003.05	
	249	행당한신(아)제2	서울시 성동구 고산자로 164(행당1동, 행당한신아파트)	22	2004.11	
	250	무학봉 	서울시 성동구 무학봉18길 4-2(행당1동)	20	2012.03	
	251	리버뷰자이(아)	서울시 성동구 고산자로2길 65	26	2019.04	
	252	행당제2	서울시 성동구 행당로11길 14-9, 302호(행당2동, 스위스빌라)	30	1996.09	
	253	행당신동아(아)	서울시 성동구 독서당로 441(행당2동, 행당신동아아파트)	31	1989.06	
	254	행당두산위브(아)	서울시 성동구 행당로8길 8(행당2동, 행당두산위브아파트)	21	2010.09	
	255	행당두산위브(아)제2	서울시 성동구 행당로8길 8(행당2동, 행당두산위브아파트)	19	2012.10	
	256	행당대림(아)제1	서울시 성동구 행당로 79(행당2동, 행당대림아파트)	70	1999.08	
	257	행당대림(아)제2	서울시 성동구 행당로 79(행당2동, 행당대림아파트)	52	1999.11	
	258	행당한진(아)제1	서울시 성동구 행당로 82(행당2동, 행당한진아파트)	25	1999.12	
	259	행당한진(아)제2	서울시 성동구 행당로 82(행당2동, 행당한진아파트)	55	2000.01	
	260	서울숲행당푸르지오(아)	서울시 성동구 고산자로 177(행당2동, 서울숲행당푸르지오아파트)	31	2011.11	
	261	응봉	서울시 성동구 독서당로59길 39(응봉동)	47	1989.06	
	262	상봉	서울시 성동구 독서당로59다길 32(응봉동)	65	1997.11	
	263	중앙	서울시 성동구 독서당로60길 4-24(응봉동)	30	1989.06	
	264	대림1차(아)	서울시 성동구 독서당로62길 43(응봉동, 대림1차아파트)	32	1989.06	
	265	대림2차(아)	서울시 성동구 독서당로 431(응봉동, 대림2차아파트)	30	1989.06	
	266	현대(아)	서울시 성동구 독서당로 377(응봉동, 현대아파트)	26	1989.06	
	267	대림강변타운(아)	서울시 성동구 고산자로 160(응봉동, 대림강변타운아파트)	28	2008.01	
	268	신동아(아)	서울시 성동구 독서당로 375(응봉동, 신동아아파트)	17	1996.12	
	269	리버그린동아(아)	서울시 성동구 고산자로4길 34(응봉동, 리버그린동아아파트)	35	2004.06	
	270	광희	서울시 성동구 독서당로62길 22-15	35	2015.01	
	271	금일	서울시 성동구 금호로 172-1 대현경로복지관 금일경로당(금호1가동)	66	1989.06	
	272	금난	서울시 성동구 독서당로51길 10(금호1가동)	18	1989.06	
	273	금호노우회	서울시 성동구 금호동1가 168-147(금호1가동)	27	1989.06	
	274	효사랑(두산위브)	서울시 성동구 행당로 27(금호1가동, 신금호두산위브아파트)	31	2008.04	
	275	금호벽산(아)제1	서울시 성동구 금호로 102(금호1가동, 금호벽산아파트)	31	2001.05	
	276	금호벽산(아)제2	서울시 성동구 금호로 100(금호1가동, 금호벽산아파트)	63	2001.06	
	277	금호삼성래미안(아)	서울시 성동구 독서당로 343(금호1가동, 금호삼성래미안아파트)	41	2002.09	
	278	e편한세상금호파크힐스	서울시 성동구 금호로 140(금호1가동, e편한세상금호파크힐스아파트)	34	2018.12	
	279	금호파크힐스(아)제2	서울시 성동구 금호로 110(금호1가동, 117동)	25	2019.08	
	280	금북	서울시 성동구 무수막길 87-4(금호2,3가동)	32	1989.06	
	281	금남	서울시 성동구 금호산길 5-15(금호2,3가동)	27	1989.06	
	282	금호3가	서울시 성동구 금호산2길 16(금호2,3가동)	16	1995.11	
	283	금호1차푸르지오	서울시 성동구 금호산8길 5(금호2,3가동, 금호1차푸르지오아파트)	21	2007.05	
	284	두산(아)	서울시 성동구 동호로 100(금호2,3가동, 두산아파트)	42	1995.02	
	285	금호자이1차	서울시 성동구 금호로 117(금호2,3가동, 금호자이1차아파트)	19	2012.07	
	286	금호자이2차	서울시 성동구 금호산8길 14(금호2,3가동, 금호자이2차아파트)	40	2013.02	
	287	하이리버 2차(아)	서울시 성동구 금호로 111(금호2,3가동, 하이리버아파트)	32	2013.07	
	288	금호하이리버(아)	서울시 성동구 금호로 107(금호2,3가동, 래미안하이리버아파트)	37	2014.06	
	289	금호한신실버문화센터	서울시 성동구 금호산길 27	17	2016.10	휴지/2020
	290	신금호파크자이(아)	서울시 성동구 금호로 173	36	2016.11	
	291	정우회	서울시 성동구 금호로3길 18-60(금호4가동)	21	1989.06	
	292	서울숲푸르지오(아)	서울시 성동구 금호로 15(금호4가동, 서울숲푸르지오아파트)	36	2009.10	
	293	서울숲푸르지오2차	서울시 성동구 금호로 17(금호4가동, 서울숲푸르지오2차아파트)	33	2013.04	
	294	금호브라운스톤	서울시 성동구 매봉길 24(금호4가동, 금호브라운스톤아파트)	28	2009.11	
	295	금호대우(아)	서울시 성동구 독서당로 272(금호4가동, 금호대우아파트)	21	2002.03	
	296	금호대우제2(아)	서울시 성동구 독서당로 272(금호4가동, 금호대우아파트)	84	2001.12	
	297	금호롯데캐슬(아)	서울시 성동구 동호로 84(금호4가동, 금호롯데캐슬아파트)	25	2011.04	
	298	금강	서울시 성동구 독서당로47가길 16-19(금호4가동)	32	2003.08	
	299	무쇠막	서울시 금호로3길, 11(금호4가동, 서울숲2차푸르지오아파트)	32	2014.12	
	300	힐스테이트서울숲리버	서울시 성동구 독서당로 344(금호4가동, 힐스테이트서울숲리버)	27	2018.10	
	301	옥수실버문화센터	서울시 성동구 한림말길 49(옥수동)	46	1989.06	
	302	극동(아)	서울시 성동구 독서당로 191(옥수동, 극동아파트)	21	1989.06	
	303	현대(아)	서울시 성동구 독서당로40길 25(옥수동, 현대아파트)	15	1989.06	
	304	한남하이츠(아)	서울시 성동구 독서당로 156(옥수동, 한남하이츠아파트)	18	1989.06	
	305	극동그린(아)	서울시 성동구 독서당로 175(옥수동, 극동그린아파트)	38	1997.11	
	306	유정	서울시 성동구 한림말길 50(옥수동, 옥수하이츠아파트)	36	1998.07	
	307	옥수하이츠(아)	서울시 성동구 한림말길 50(옥수동, 옥수하이츠아파트)	43	1989.06	
